company_id,name,sector,hiring_freeze_score,exec_departure_rate,news_negativity,review_sentiment,engagement_signals,client_churn,delays,collapsed
C0081,Orbit Analytics,D2C,0.3310,0.2784,0.3896,0.0369,0.6927,0.0000,0.4909,0
C0082,Yama Works,Mobility,0.6458,0.4806,0.5257,0.2741,0.3223,0.3582,0.3025,1
C0083,Fjord Digital,SaaS,0.7411,0.3100,0.6807,-0.3038,0.1715,0.2345,0.4336,1
C0084,Gala Analytics,Mobility,0.4260,0.3607,0.2432,-0.1984,0.6271,0.1714,0.2332,0
C0085,Helix Networks,Retail Tech,0.2149,0.4118,0.4612,-0.3472,0.7893,0.0252,0.0105,0
C0086,Prism Ventures,HealthTech,0.6877,0.4070,0.3394,-0.2797,0.3376,0.1115,0.2603,1
C0087,Tara Networks,EdTech,0.3282,0.3390,0.0541,-0.2689,0.4012,0.0660,0.2624,1
C0088,Tara Systems,Fintech,0.1718,0.1367,0.1236,0.1835,0.9435,0.0480,0.0000,0
C0089,Helix Labs,HealthTech,0.2167,0.0855,0.0717,-0.0198,0.6470,0.1739,0.2950,0
C0090,Fjord Networks,Retail Tech,0.4585,0.3120,0.3155,-0.1741,0.5537,0.0977,0.2668,1
C0091,Ember Analytics,Logistics,0.0411,0.2256,0.2016,0.1233,0.4662,0.2820,0.2672,0
C0092,Nimbus Ventures,Fintech,0.3515,0.1890,0.1858,0.4555,0.5792,0.1913,0.1884,0
C0093,Rudra Digital,HealthTech,0.3768,0.3637,0.5164,-0.1852,0.4286,0.4226,0.7107,1
C0094,Cobalt Digital,Logistics,0.0000,0.0048,0.3334,0.1830,0.5464,0.0000,0.0805,0
C0095,Prism Networks,D2C,0.4252,0.1804,0.6707,-0.2109,0.3937,0.3782,0.2881,0
C0096,Wick Labs,Mobility,0.1971,0.2977,0.3316,0.0691,0.4429,0.2288,0.3094,0
C0097,Vega Systems,Fintech,0.3529,0.1277,0.3604,0.4751,0.7141,0.2363,0.0000,0
C0098,Tara Technologies,Logistics,0.0662,0.1879,0.1342,0.4635,0.5799,0.0361,0.2792,0
C0099,Bodhi Digital,SaaS,0.0000,0.1322,0.2970,0.6358,0.6401,0.0900,0.1417,0
C0100,Fjord Systems,EdTech,0.5035,0.3422,0.6628,-0.1423,0.6204,0.1568,0.2659,1
C0101,Bodhi Works,Retail Tech,0.1091,0.1216,0.5032,0.1272,0.9949,0.0496,0.2361,0
C0102,Bodhi Ventures,HealthTech,0.6093,0.3276,0.6940,0.3593,0.4202,0.3060,0.3411,0
C0103,Meru Systems,Fintech,0.0434,0.0811,0.4515,0.4661,0.6284,0.1872,0.0739,0
C0104,Aster Technologies,Logistics,0.3202,0.3410,0.4763,0.2941,0.5737,0.2033,0.2926,0
C0105,Wick Analytics,Fintech,0.2788,0.1583,0.2499,0.4173,0.5841,0.0185,0.1730,0
C0106,Vega Works,D2C,0.4296,0.4253,0.1339,-0.2368,0.3968,0.2690,0.1328,0
C0107,Lumen Works,Retail Tech,0.7057,0.5731,0.5207,-0.6332,0.0330,0.2853,0.4374,1
C0108,Lumen Labs,SaaS,0.1233,0.1892,0.0319,0.2636,0.6088,0.1058,0.0000,0
C0109,Indus Technologies,SaaS,0.7883,0.2030,0.4326,-0.1486,0.7905,0.2733,0.3963,0
C0110,Nimbus Technologies,HealthTech,0.2269,0.2095,0.3353,0.0971,0.7056,0.2293,0.5808,0
C0111,Indus Labs,Mobility,0.5926,0.3335,0.4884,-0.6200,0.1381,0.3009,0.5671,1
C0112,Lumen Ventures,Fintech,0.1358,0.0533,0.0521,0.3703,0.6870,0.0430,0.0051,0
C0113,Umbra Labs,Retail Tech,0.7047,0.2790,0.4513,0.1957,0.6062,0.3305,0.0554,0
C0114,Nimbus Networks,EdTech,0.2422,0.1028,0.0392,0.8744,0.7421,0.0000,0.2447,0
C0115,Helix Works,HealthTech,0.0000,0.0000,0.1711,0.5189,0.7760,0.0932,0.0136,0
C0116,Nimbus Labs,SaaS,0.8007,0.4554,0.7745,-0.1443,0.3744,0.4357,0.5011,1
C0117,Kaveri Labs,HealthTech,0.4995,0.1098,0.5803,0.2491,0.7109,0.2759,0.2349,0
C0118,Cobalt Works,EdTech,0.2393,0.1929,0.4301,0.6252,0.8524,0.3047,0.0976,0
C0119,Orbit Technologies,HealthTech,0.7611,0.3426,0.6739,0.0023,0.2003,0.3358,0.3959,1
C0120,Vega Ventures,Mobility,0.5423,0.5052,0.7095,-0.0965,0.4274,0.2869,0.3851,1
C0121,Ember Technologies,Retail Tech,0.4890,0.6737,0.7341,-0.4329,0.2446,0.2632,0.7558,1
C0122,Delta Ventures,EdTech,0.3404,0.1576,0.4873,0.2761,0.6053,0.1783,0.2505,0
C0123,Prism Works,Retail Tech,0.6492,0.3447,0.6421,-0.0288,0.4764,0.4713,0.2125,1
C0124,Rudra Labs,Fintech,0.4526,0.3739,0.4880,0.1529,0.5477,0.1112,0.1469,1
C0125,Tara Digital,D2C,0.3113,0.0647,0.0781,0.3912,0.7985,0.0168,0.3382,0
C0126,Sutra Analytics,D2C,0.2824,0.3720,0.5304,0.4175,0.7506,0.0133,0.2410,0
C0127,Yama Ventures,EdTech,0.2739,0.1871,0.6057,0.4070,0.5123,0.2509,0.4788,0
C0128,Quanta Networks,HealthTech,0.3146,0.0000,0.1538,0.2804,1.0000,0.1998,0.0801,0
C0129,Sutra Works,Retail Tech,0.0000,0.1991,0.4114,0.2454,0.7890,0.0141,0.0893,0
C0130,Helix Analytics,Mobility,0.2537,0.0000,0.2759,0.1031,0.8487,0.0267,0.1558,0
C0131,Zephyr Technologies,Logistics,0.5676,0.5885,0.4723,-0.6374,0.2958,0.3717,0.4998,1
C0132,Tara Analytics,Logistics,0.5693,0.3614,0.7816,-0.1303,0.2994,0.2521,0.5454,1
C0133,Bodhi Analytics,Retail Tech,0.3344,0.1075,0.3599,-0.3135,0.5204,0.2409,0.4021,0
C0134,Kaveri Systems,Logistics,0.4533,0.3301,0.7749,0.0799,0.4413,0.3620,0.4473,1
C0135,Juno Analytics,Mobility,0.5215,0.3033,0.4546,0.4919,0.4912,0.2178,0.3293,0
C0136,Wick Digital,D2C,0.5592,0.5118,0.3503,-0.5385,0.1058,0.3528,0.3727,1
C0137,Quanta Labs,Mobility,0.2903,0.0823,0.4879,0.1731,0.6225,0.3470,0.2436,0
C0138,Lumen Systems,EdTech,0.4333,0.2591,0.2073,0.0571,0.5658,0.1513,0.1646,0
C0139,Kaveri Technologies,EdTech,0.1586,0.1436,0.1050,0.6873,1.0000,0.1052,0.0713,0
C0140,Zephyr Digital,Logistics,0.7388,0.5117,0.4844,-0.1027,0.4070,0.2102,0.2882,1
C0141,Ember Digital,Mobility,0.2888,0.0004,0.0992,0.4105,0.6313,0.0591,0.0000,0
C0142,Gala Systems,D2C,0.2887,0.3330,0.2500,-0.0570,0.4551,0.2361,0.1270,1
C0143,Delta Systems,SaaS,0.7273,0.5978,0.6608,-0.2453,0.3322,0.2475,0.6026,1
C0144,Umbra Networks,SaaS,0.4803,0.2568,0.2591,0.5120,0.2970,0.1646,0.1723,1
C0145,Aster Labs,EdTech,0.3294,0.2487,0.3202,0.0148,0.6820,0.1610,0.4974,1
C0146,Cobalt Systems,Fintech,0.3742,0.2138,0.4785,-0.1312,0.5323,0.0855,0.3292,0
C0147,Delta Analytics,Logistics,0.5274,0.5443,0.9752,-0.0418,0.3150,0.1683,0.2714,1
C0148,Lumen Digital,D2C,0.6350,0.3432,0.3999,0.0569,0.4203,0.2400,0.6258,0
C0149,Gala Digital,EdTech,0.5446,0.1431,0.2136,0.7132,0.6232,0.0958,0.1633,0
C0150,Zephyr Systems,HealthTech,0.1251,0.0343,0.0762,0.7299,0.6299,0.2251,0.2434,0
C0151,Nimbus Digital,HealthTech,0.6077,0.4134,0.6715,-0.8337,0.2844,0.2552,0.5938,1
C0152,Orbit Labs,HealthTech,0.2223,0.1007,0.5933,0.4902,0.4379,0.1279,0.2704,0
C0153,Ember Networks,Retail Tech,0.6123,0.4705,0.5789,-0.5923,0.3355,0.2205,0.2542,1
C0154,Wick Networks,D2C,0.2234,0.1546,0.3281,-0.0219,0.6429,0.1734,0.3740,0
C0155,Meru Technologies,D2C,0.1821,0.1742,0.2955,0.3984,0.8503,0.1331,0.0920,0
C0156,Fjord Technologies,Fintech,0.1107,0.1481,0.3631,0.5695,0.8452,0.0691,0.1853,1
C0157,Zephyr Networks,Mobility,0.1356,0.0355,0.2176,0.6611,0.4863,0.1603,0.0725,0
C0158,Meru Analytics,Retail Tech,0.3374,0.1596,0.6948,0.2366,0.6889,0.1726,0.0000,0
C0159,Aster Works,Fintech,0.3060,0.2416,0.4071,0.1683,0.3434,0.1817,0.0000,0
C0160,Cobalt Technologies,Fintech,0.0945,0.2794,0.3449,0.4282,0.7893,0.1248,0.1280,0
C0161,Vega Analytics,Mobility,0.1826,0.0743,0.4954,0.5409,0.8740,0.0955,0.1956,0
C0162,Cobalt Ventures,Logistics,0.3305,0.0132,0.1044,0.3769,0.5825,0.0476,0.0899,0
C0163,Prism Digital,Retail Tech,0.3398,0.0710,0.2292,0.3728,0.3151,0.1154,0.2957,0
C0164,Nimbus Systems,Mobility,0.6386,0.2319,0.2610,0.2989,0.4958,0.3277,0.3656,0
C0165,Aster Analytics,HealthTech,0.6379,0.4725,0.6019,-0.8387,0.4008,0.2248,0.1132,1
C0166,Rudra Networks,Fintech,0.6349,0.3603,0.7828,-0.2392,0.2490,0.3887,0.1272,1
C0167,Sutra Technologies,SaaS,0.0165,0.0523,0.1435,0.3885,0.7602,0.0141,0.1575,0
C0168,Xenon Labs,D2C,0.1546,0.2207,0.1756,0.3594,0.5309,0.1456,0.3513,0
C0169,Meru Ventures,Retail Tech,0.6040,0.3040,0.0000,0.1075,0.4576,0.2126,0.1967,0
C0170,Bodhi Technologies,Logistics,0.3495,0.2353,0.5695,0.4202,0.6962,0.0419,0.1080,0
C0171,Delta Works,HealthTech,0.2941,0.2831,0.3272,-0.0161,0.4686,0.2749,0.0649,0
C0172,Quanta Technologies,Retail Tech,0.3842,0.2369,0.2281,-0.2302,0.6561,0.0000,0.0641,0
C0173,Helix Ventures,Retail Tech,0.2045,0.1681,0.0950,-0.2288,0.5989,0.1937,0.2419,0
C0174,Rudra Ventures,Fintech,0.6336,0.3025,0.7378,-0.0312,0.1770,0.3272,0.4901,1
C0175,Xenon Analytics,Fintech,0.5595,0.4234,0.8134,-0.0505,0.3208,0.2632,0.4458,1
C0176,Gala Networks,SaaS,0.8740,0.5678,0.5643,-0.1079,0.0000,0.3824,0.3357,1
C0177,Helix Digital,EdTech,0.1692,0.0196,0.3238,0.4162,0.5687,0.0427,0.0684,0
C0178,Prism Labs,Retail Tech,0.0420,0.1318,0.3431,0.5500,0.6604,0.0922,0.1959,0
C0179,Tara Labs,Logistics,0.5968,0.4329,0.5340,-0.2873,0.2983,0.0092,0.0000,1
C0180,Meru Works,Retail Tech,0.1973,0.1868,0.5045,0.5448,0.4419,0.1415,0.1336,0
C0181,Gala Ventures,Logistics,0.3661,0.2353,0.4981,0.0251,0.6919,0.1447,0.3374,0
C0182,Lumen Analytics,Mobility,0.0000,0.0840,0.1381,0.1039,0.6108,0.0925,0.0000,0
C0183,Sutra Digital,SaaS,0.4147,0.1109,0.3679,0.5018,0.4572,0.3618,0.4326,0
C0184,Kaveri Ventures,D2C,0.1830,0.2957,0.1476,0.7528,0.7515,0.2205,0.1506,0
C0185,Orbit Systems,SaaS,0.2528,0.2247,0.4329,-0.0900,0.3410,0.3439,0.3581,0
C0186,Tara Ventures,Mobility,0.3672,0.0712,0.1762,0.4720,0.7603,0.0000,0.1670,0
C0187,Indus Ventures,Mobility,1.0000,0.7224,0.9805,-0.4590,0.0456,0.4087,0.7470,1
C0188,Gala Works,Retail Tech,0.6423,0.1730,0.8055,-0.4443,0.3402,0.2892,0.4599,1
C0189,Meru Digital,Mobility,0.2943,0.2242,0.3969,0.1994,0.4763,0.1854,0.0695,0
C0190,Juno Ventures,D2C,0.7448,0.3606,0.6329,-0.0263,0.2603,0.3187,0.2844,1
C0191,Nimbus Analytics,HealthTech,0.0000,0.1700,0.2110,0.5835,0.5027,0.0807,0.3187,0
C0192,Lumen Technologies,Mobility,0.5991,0.3673,0.6667,-0.2037,0.2468,0.3596,0.6346,1
C0193,Xenon Digital,Mobility,0.3607,0.3927,0.7255,0.0368,0.3736,0.1632,0.4549,0
C0194,Ember Works,D2C,0.0969,0.1571,0.2304,0.3241,0.7215,0.1340,0.0694,0
C0195,Nimbus Works,D2C,0.3600,0.2751,0.4199,0.4746,0.5115,0.2358,0.5507,0
C0196,Juno Systems,Mobility,0.0375,0.2421,0.2065,0.5006,0.9870,0.0975,0.1351,0
C0197,Fjord Analytics,HealthTech,0.0227,0.2913,0.2977,0.7677,0.9104,0.0357,0.0813,0
C0198,Rudra Works,SaaS,0.7970,0.3773,0.6404,-0.6845,0.2361,0.3874,0.3441,1
C0199,Xenon Works,EdTech,0.1346,0.1457,0.2817,0.4912,0.6256,0.1855,0.1279,0
C0200,Gala Technologies,Mobility,0.0745,0.1653,0.3970,0.7006,0.7309,0.1510,0.0000,0
C0201,Umbra Ventures,D2C,0.2791,0.0224,0.2087,0.2710,0.5600,0.3439,0.4619,0
C0202,Bodhi Systems,Retail Tech,0.3040,0.1638,0.3100,0.0047,0.5758,0.4344,0.4841,0
C0203,Kaveri Analytics,D2C,0.4232,0.2617,0.2310,0.2226,0.6653,0.0379,0.2060,0
C0204,Fjord Labs,HealthTech,0.5914,0.3038,0.6169,-0.3817,0.3363,0.2605,0.0957,0
C0205,Juno Networks,EdTech,0.6683,0.1112,0.5040,0.2716,0.8920,0.0928,0.3462,0
C0206,Zephyr Ventures,D2C,0.0722,0.2712,0.3082,0.4214,0.7264,0.1277,0.1395,0
C0207,Umbra Digital,SaaS,0.3242,0.2703,0.4791,-0.0339,0.5661,0.1151,0.0101,0
C0208,Delta Digital,Logistics,0.3471,0.2480,0.1654,0.3137,0.7259,0.2926,0.4002,1
C0209,Nimbus Labs 334,Logistics,0.6611,0.1288,0.1591,0.2227,0.7054,0.3122,0.1343,1
C0210,Tara Labs 451,D2C,0.4502,0.4359,0.6890,0.3654,0.1840,0.3232,0.4118,1
C0211,Sutra Technologies 488,D2C,0.2648,0.0836,0.3765,0.3540,0.5631,0.1031,0.2862,0
C0212,Zephyr Networks 761,Logistics,0.3123,0.0762,0.3179,0.8221,0.6115,0.0813,0.2884,0
C0213,Delta Analytics 798,Logistics,0.2426,0.0000,0.4388,0.7004,0.6130,0.0892,0.0902,0
C0214,Fjord Systems 626,EdTech,0.2889,0.1571,0.2573,0.1698,0.5004,0.1203,0.1255,0
C0215,Prism Labs 801,Mobility,0.2711,0.0927,0.2811,0.8587,0.7021,0.0545,0.1084,0
C0216,Aster Systems 124,Mobility,0.1721,0.0742,0.0273,0.7534,0.7287,0.1379,0.1555,0
C0217,Helix Ventures 547,D2C,0.7082,0.2110,0.3457,0.3372,0.4877,0.2869,0.3447,0
C0218,Gala Works 965,D2C,0.1062,0.0000,0.2242,0.6133,0.7383,0.0935,0.0000,0
C0219,Ember Systems 375,Fintech,0.4048,0.2140,0.1037,0.3497,0.6794,0.1123,0.0642,0
C0220,Zephyr Systems 232,Fintech,0.2401,0.0000,0.2155,0.5103,0.9148,0.0662,0.0675,0
C0221,Indus Ventures 828,D2C,0.3647,0.3789,0.3007,0.5338,0.4009,0.2000,0.0000,0
C0222,Rudra Digital 880,Logistics,0.1937,0.2896,0.2158,0.4089,0.6459,0.0797,0.3935,0
C0223,Orbit Systems 74,HealthTech,1.0000,0.4556,0.6537,-0.4189,0.2147,0.3912,0.5465,1
C0224,Umbra Works 591,Fintech,0.5510,0.1826,0.3981,0.3400,0.6812,0.2904,0.5733,0
C0225,Cobalt Ventures 362,Logistics,0.4695,0.4159,0.5720,-0.4039,0.4331,0.1220,0.2590,1
C0226,Bodhi Networks 563,EdTech,0.1947,0.1003,0.3615,0.0317,0.6855,0.0758,0.1471,0
C0227,Kaveri Works 828,Logistics,0.1803,0.1631,0.1502,0.2968,0.8298,0.0765,0.2978,0
C0228,Lumen Works 795,Fintech,0.2018,0.2552,0.6029,0.2527,0.4179,0.1813,0.3378,0
C0229,Aster Ventures 881,Fintech,0.0730,0.0480,0.3345,0.4541,0.5692,0.0319,0.2135,0
C0230,Bodhi Ventures 62,D2C,0.0854,0.3044,0.4606,0.1603,0.4292,0.0225,0.0786,0
C0231,Quanta Systems 522,HealthTech,0.1916,0.1475,0.2042,0.3843,0.6221,0.2361,0.1418,0
C0232,Cobalt Works 120,EdTech,0.1624,0.1535,0.1432,0.2057,0.6034,0.0000,0.2114,0
C0233,Ember Technologies 519,Fintech,0.3223,0.3450,0.4963,0.1049,0.4962,0.1365,0.1586,0
C0234,Helix Systems 295,EdTech,0.5443,0.3488,0.7221,0.0294,0.3087,0.3562,0.5989,1
C0235,Nimbus Labs 206,Logistics,0.2329,0.2354,0.5170,0.2653,0.7766,0.0377,0.2984,0
C0236,Nimbus Works 547,Mobility,0.1552,0.0000,0.1534,0.0670,0.6878,0.0646,0.1221,0
C0237,Aster Analytics 328,EdTech,0.3361,0.1762,0.1371,0.2866,0.6440,0.2439,0.1908,1
C0238,Cobalt Systems 587,Logistics,0.7511,0.3655,0.5296,-0.3502,0.5754,0.3120,0.6260,1
C0239,Cobalt Networks 193,HealthTech,0.2190,0.1632,0.2814,0.3346,0.9513,0.0000,0.1134,0
C0240,Fjord Labs 709,HealthTech,0.0000,0.1596,0.2322,0.6380,0.6878,0.1210,0.3933,0
C0241,Prism Networks 428,D2C,0.3879,0.2971,0.4555,-0.2335,0.7336,0.1685,0.3514,0
C0242,Xenon Technologies 70,D2C,0.4110,0.3123,0.5648,0.1472,0.4374,0.0690,0.4137,1
C0243,Indus Analytics 284,Logistics,0.2017,0.0000,0.2164,0.4605,0.6237,0.1680,0.0000,0
C0244,Orbit Systems 120,Retail Tech,0.5837,0.3701,0.2502,0.0569,0.4718,0.3128,0.0703,0
C0245,Meru Works 668,Retail Tech,0.6654,0.3437,0.9454,-0.2451,0.5722,0.2901,0.5824,1
C0246,Tara Labs 879,SaaS,0.2681,0.1861,0.2212,0.4089,0.7515,0.0844,0.1731,0
C0247,Cobalt Technologies 728,Retail Tech,0.3575,0.2620,0.0663,0.4386,0.7139,0.1999,0.4622,0
C0248,Orbit Systems 913,SaaS,0.2624,0.2357,0.4165,-0.3380,0.8906,0.1050,0.2211,0
C0249,Juno Networks 775,Mobility,0.5030,0.2899,0.7580,-0.5319,0.5441,0.3051,0.5232,0
C0250,Orbit Digital 769,HealthTech,0.2265,0.1053,0.2017,0.3691,0.8513,0.0642,0.3474,0
C0251,Delta Systems 144,EdTech,0.7583,0.4941,0.6254,-0.7069,0.2525,0.3145,0.1806,1
C0252,Helix Analytics 822,Logistics,0.2284,0.1194,0.1717,0.3306,0.5232,0.0887,0.2767,0
